type,Featureid,Longitude,Latitude,FeatureName
Point,22870,48.5415419,35.0888447,Храм в честь Святителя Иоанна Златоуста в &quot;Золотых Ключах&quot;
Point,25525,50.4826982,30.4037761,Храм в честь святителя Иоасафа Белгородского
Point,19648,50.743819,30.3128506,Храм в честь святителя Николая Чудотворца&#044; с. Демидов Вышгородского района Киевской области
Point,30997,48.0127556,37.8016531,Храм в честь святого апостола Андрея Первозванного
Point,27694,48.1304514,39.5456709,Храм в честь святого великомученика и целителя Пантелеимона
Point,31031,45.663604,34.386539,Храм в честь Святого Духа
Point,27444,48.0805779,39.6897638,Храм в честь святой преподобномученицы великой княгини Елисаветы
Point,22184,50.1717833,30.7295946,Храм в честь святых апостолов Петра и Павла
Point,30246,49.9237091,36.419549,Храм в честь святых мучениц Веры&#044; Надежды&#044; Любови и матери их Софии. Город Харьков
Point,27139,50.5433871,30.4874305,Храм в честь Святых Царственных Страстотерпцев
Point,32949,47.8617473,35.0085346,Храм в честь Священномученика Серафима Чичагова
Point,5322,50.4342442,30.4158142,Храм в честь Собора архистратига Михаила в Медгородке (Киев)
Point,32063,47.4857753,35.2803999,Храм в честь Царственных Страстотерпцев
Point,27528,49.1031191,27.7172249,Храм Введення во храм Пресвятої Богородиці
Point,27502,49.032232,27.426904,Храм великомученика Димитрія Солунського
Point,27505,48.904334,27.660197,Храм великомученика Димитрія Солунського
Point,29640,48.820313,27.89728,Храм великомученика Димитрія Солунського
Point,29324,47.925601,33.463475,Храм великомученика Димитрия Солунского
Point,6665,50.4534928,30.4987626,Храм Виленской-Остробрамской иконы Божией Матери
Point,19192,47.729788,37.4107155,Храм Владимирской иконы Божией Матери
Point,5954,50.515071,30.417827,Храм Владимирской иконы Божией Матери (на Виноградаре)
Point,7609,50.4682041,30.4541143,Храм вмц.Екатерины (на Лукьяновском кладбище)
Point,29050,48.5571587,39.2826482,Храм вмч. Пантелеимона&#044; Луганск
Point,6107,50.5684708,30.4613843,Храм вмч.Георгия Победоносца (на Водогоне)
Point,7056,50.4590542,30.4782728,Храм вмч.Георгия Победоносца (при госпитале МВД)
Point,1187,47.247222,34.922058,Храм во имя Великомученика и целителя Пантелеймона
Point,28926,46.7609805,36.7834334,Храм во имя свт. Луки (Войно-Ясенецкого)
Point,27513,48.875918,27.782619,Храм Воздвиження Хреста Господнього
Point,27522,48.920451,27.428018,Храм Воздвиження Хреста Господнього
Point,27504,49.0030375,27.6475315,Храм Воздвиження Хреста Господня
Point,27477,48.9667966,28.1042988,Храм Вознесіння Господнього с. Станіславчик
Point,6987,50.4601901,30.4857222,Храм Володимирської ікони Божої Матері (на Лук&prime;янівці)
Point,32933,47.8512301,35.1816786,Храм Воскресения Господня
Point,15748,44.485898,34.155977,Храм Воскресения Христа Спасителя
Point,32077,50.0763095,29.9318039,Храм Воскресения Христова
Point,7679,50.500439,30.6346826,Храм Воскресения Христова (на Лесном кладбище)
Point,31876,50.7570147,25.3602924,Храм Всіх Святих Землі Волинської
